29    13



-560.6  712.1  461.0
-563.0  703.0  461.0
-566.1  691.4  461.0
-569.6  677.4  461.0
-573.9  660.2  461.0
-578.6  640.0  461.0
-583.9  616.9  461.0
-589.6  590.4  461.0
-595.7  560.4  461.0
-602.1  527.3  461.0
-608.7  491.4  461.0
-615.6  452.1  461.0
-622.8  409.0  461.0
-629.6  366.4  461.0

-557.7  712.4  465.6
-625.7  367.4  466.8

-554.1  712.7  469.9
-620.2  368.7  472.9

-549.9  713.1  474.0
-613.0  370.5  479.2

-544.3  713.6  478.3
-604.0  372.7  485.5

-537.3  714.3  482.4
-592.5  375.5  491.9

-527.9  715.0  486.5
-579.2  378.8  497.5

-516.7  715.9  490.4
-563.4  382.7  502.8

-503.3  717.1  494.1
-544.7  387.3  507.8

-488.0  718.3  497.6
-523.4  392.5  512.6

-470.2  719.7  501.2
-499.1  398.4  517.4

-449.7  721.3  504.8
-472.3  404.9  522.1

-428.1  722.9  508.5
-442.7  412.1  526.9

-399.1  724.8  513.1
-410.8  419.8  531.9

-370.1  726.9  517.4
-376.0  428.2  536.9

-336.9  729.0  522.2
-339.8  436.9  541.9

-300.0  731.1  527.3
-300.0  446.4  547.1

-257.0  733.7  533.0
-257.0  456.6  552.4

-209.5  736.2  539.0
-209.5  467.8  558.0

-156.7  738.9  545.3
-156.7  480.1  563.9

-97.9  741.6  551.8
-97.9  493.8  570.1

-32.3  744.3  558.6
-32.3  508.8  576.6

40.2  747.1  565.4
40.3  525.3  583.3

120.4  749.8  572.3
120.4  543.2  590.4

207.3  752.4  579.2
207.4  562.4  597.6

300.0  754.7  585.7
300.0  582.7  604.8

400.0  756.9  592.1
400.0  604.3  612.3

500.0  758.5  597.8
500.0  625.8  619.4

600.0  759.8  603.0
600.0  647.1  626.2

700.0  760.8  607.8
700.0  755.8  609.6
700.0  750.7  611.4
700.0  745.3  613.2
700.0  739.7  615.1
700.0  733.8  616.9
700.0  727.4  618.8
700.0  720.6  620.7
700.0  713.2  622.7
700.0  705.0  624.8
700.0  696.4  626.9
700.0  687.5  628.9
700.0  678.3  630.9
700.0  668.3  632.8
